zone,path,desired_owner,current_owner,status,notes
Reports CSV export,ui/src/views/reports/ReportsPage.csvexport.tsx,ModelReportsPageMessages,ModelReportsPageMessages,done,"Filename, column headers, object type labels, unknown."
Tag groups page,ui/src/views/tags/TagGroupsPage.tsx,TagGroupsPageMessages,TagGroupsPageMessages,done,"Eyebrow Global tags, title Tag groups, action button label, descriptive text, section title."
Tag group edit page,ui/src/views/tags/TagGroupEdit.tsx,TagGroupEditMessages,TagGroupEditMessages,done,"Breadcrumb Tag groups, eyebrow Global tag group, action button label, description placeholder, section title Tags."
Tag group edit overview,ui/src/views/tags/TagGroupEdit.tsx,TagGroupEditMessages,TagGroupEditMessages,done,"Labels Group key and Identifier."
Tag group edit displayed errors,ui/src/views/tags/TagGroupEdit.tsx,TagGroupEditMessages,TagGroupEditMessages,done,"ErrorBox 'Can not find tag group ...'."
Tag edit page,ui/src/views/tags/TagEdit.tsx,TagEditMessages,TagEditMessages,done,"Eyebrow Global tag / Local tag, action button label, description placeholder."
Tag edit breadcrumb and overview,ui/src/views/tags/TagEdit.tsx,TagEditMessages,TagEditMessages,done,"Breadcrumb Tag groups, fallback model label, Scope, Key, Identifier."
Tag edit displayed errors,ui/src/views/tags/TagEdit.tsx,TagEditMessages,TagEditMessages,done,"ErrorBox 'Can not find tag ...'."
Tag groups table,ui/src/views/tags/TagGroupsTable.tsx,TagGroupEditMessages,TagGroupEditMessages,done,"Sous-composant de views/tags uniquement; etat vide No global tag groups."
Tags table,ui/src/components/business/tag/TagsTable.tsx,TagsTableMessages,TagsTableMessages,done,"Empty states No tags in this scope / group."
Relationships table,ui/src/components/business/model/RelationshipsTable.tsx,RelationshipsTableMessages,RelationshipsTableMessages,done,"Empty state No relationships in this model."
Types table,ui/src/components/business/model/TypesTable.tsx,TypesTableMessages,TypesTableMessages,done,"Empty state No data types in this model."
Inline edit single line layout,ui/src/components/core/InlineEditSingleLineLayout.tsx,InlineEditSingleLineLayoutMessages,InlineEditSingleLineLayoutMessages,done,"Tooltip Edit, buttons Cancel and OK."
Inline edit rich text layout,ui/src/components/core/InlineEditRichTextLayout.tsx,InlineEditRichTextLayoutMessages,InlineEditRichTextLayoutMessages,done,"Tooltip Edit, buttons Cancel and OK."
Inline edit tags,ui/src/components/core/InlineEditTags.tsx,InlineEditTagsMessages,InlineEditTagsMessages,done,"Selected tags aria-label, Add Tags aria-label, No matching tags, Create '<value>'."
Action performer surfaced copy,ui/src/components/business/actions/ActionPerformerView.tsx,ActionPerformerViewMessages,ActionPerformerViewMessages,done,"Les textes fixes visibles localement sont les boutons Execute, Cancel et Finish. Le titre, la description et les labels viennent des donnees d'action."
Model and action cards,ui/src/components/business/model/ModelCard.tsx,ModelCardMessages,,skip,"Pas de texte local fixe a traduire dans ce composant. Les contenus affiches viennent des donnees du modele."
Entity card,ui/src/components/business/model/EntityCard.tsx,EntityCardMessages,,skip,"Pas de texte local fixe a traduire dans ce composant. Les contenus affiches viennent des donnees de l'entite."
Actions bar,ui/src/components/business/actions/ActionsBar.tsx,ActionsBarMessages,,skip,"Le texte visible vient de action.title dynamique; le message console n'est pas a traduire pour l'utilisateur."
Technical thrown errors,ui/src/components/business/actions/ActionPerformer.tsx,ActionPerformerMessages,,skip,"Messages d'etat interne et erreurs de garde-fou. Rien n'indique ici qu'ils constituent une copie UI voulue a localiser."
Technical hook errors,ui/src/components/business/actions/ActionPerformerHook.tsx,ActionPerformerHookMessages,,skip,"Message de dev uniquement, non utilisateur."
Technical context errors,ui/src/components/business/model/ModelContext.tsx,ModelContextMessages,,skip,"Erreur de dev uniquement."
Technical context errors,ui/src/components/business/DetailLevelContext.tsx,DetailLevelContextMessages,,skip,"Erreur de dev uniquement."
API/storage surfaced errors,ui/src/business/model/model.storage.ts,ModelStorageMessages,,skip,"Erreur technique de couche storage. A localiser seulement si on decide de traiter aussi les erreurs techniques remontees telles quelles a l'utilisateur."
